student_id,first_name,last_name,email,gender,age,department,attendance(%),midterm_score,final_score,assignment_avg,quizzes_avg,participation_score,projects_score,total_score,grade,study_hours_per_week,internet_access,parent_education,family_income,stress_level
28,Ryan,Miller,ryan.miller28@email.com,Male,21,Business,80.6,70,67,78.4,63.7,73,65,69.1,D,18,no,Doctorate,medium,9
29,Kimberly,Patel,kimberly.patel29@email.com,Female,18,Economics,94.8,73,60,51.6,79.9,88,67,66.3,D,10,yes,High School,high,7
30,Stephen,Delacruz,stephen.delacruz30@email.com,Male,19,English Literature,78.2,79,74,83.3,84.1,70,73,76.7,C,12,no,Master's,high,5
31,Jennifer,Ryan,jennifer.ryan31@email.com,Female,22,Engineering,71.4,40,46,50.0,50.0,60,50,45.9,F,9,yes,High School,low,8
32,Grant,Perry,grant.perry32@email.com,Male,21,Political Science,100.0,59,54,62.6,69.6,63,63,58.6,F,5,yes,Associate,high,7
33,Audrey,Robinson,audrey.robinson33@email.com,Male,18,Economics,76.6,77,81,88.2,78.6,74,88,80.8,B-,12,no,Doctorate,high,3
34,Glenn,Gill,glenn.gill34@email.com,Female,24,English Literature,94.6,73,87,86.8,98.3,67,73,81.0,B-,17,yes,High School,medium,4
35,Samantha,Jones,samantha.jones35@email.com,Female,19,Mathematics,76.2,40,40,50.0,50.0,60,50,43.5,F,8,no,Bachelor's,medium,8
36,Jessica,Harris,jessica.harris36@email.com,Male,20,History,99.8,79,80,83.5,83.1,65,83,79.8,C+,14,yes,High School,medium,4
37,Russell,Lane,russell.lane37@email.com,Female,22,Biology,80.2,83,82,91.2,88.1,84,68,82.3,B-,12,yes,High School,low,4
38,Lance,Mueller,lance.mueller38@email.com,Male,18,Engineering,90.1,69,68,94.4,83.4,68,94,74.4,C,12,yes,Master's,medium,5
39,Sarah,Jackson,sarah.jackson39@email.com,Male,21,Mathematics,100.0,76,89,89.2,82.6,84,81,83.8,B,9,yes,Master's,medium,5
40,Shane,Frost,shane.frost40@email.com,Male,24,Biology,83.6,54,72,89.8,83.8,74,75,69.5,D,15,yes,Bachelor's,medium,8
41,Chad,Arnold,chad.arnold41@email.com,Male,22,Economics,89.0,66,79,85.0,71.9,80,87,76.3,C,11,yes,Bachelor's,medium,4
42,Brittany,Phillips,brittany.phillips42@email.com,Female,22,Business,88.5,75,70,76.2,81.0,70,61,71.8,C-,12,yes,Master's,high,5
43,Melissa,Randall,melissa.randall43@email.com,Female,18,Economics,85.4,67,64,67.7,70.3,69,60,65.5,D,19,yes,Associate,medium,7
44,William,Baker,william.baker44@email.com,Male,23,Chemistry,77.2,83,83,80.0,84.5,82,70,81.5,B-,15,no,Associate,low,2
45,Timothy,Watson,timothy.watson45@email.com,Male,24,Computer Science,84.5,43,44,50.8,52.1,60,59,47.2,F,11,yes,Associate,low,7
46,Tammy,Allen,tammy.allen46@email.com,Male,24,Engineering,90.6,94,64,93.0,86.4,73,68,77.9,C+,18,yes,Doctorate,high,6
47,Sarah,Dean,sarah.dean47@email.com,Male,23,Economics,90.6,48,48,50.5,53.8,60,55,49.9,F,6,no,Associate,low,6
48,Mark,Chang,mark.chang48@email.com,Male,19,Economics,86.5,80,85,91.3,66.8,100,76,83.2,B,15,yes,Master's,low,5
49,Erica,Soto,erica.soto49@email.com,Female,21,Physics,60.0,55,46,67.3,50.0,60,83,55.5,F,13,no,Master's,medium,4
50,Nicholas,Martin,nicholas.martin50@email.com,Male,19,Engineering,65.6,52,45,55.3,50.0,60,62,50.8,F,20,no,Associate,low,8
51,Richard,Gomez,richard.gomez51@email.com,Female,22,Business,79.0,69,80,77.1,73.9,62,66,73.9,C,13,yes,Bachelor's,medium,4
52,Jerry,Watson,jerry.watson52@email.com,Male,22,Computer Science,72.1,71,78,74.6,79.2,60,67,73.6,C,14,yes,Associate,medium,6
53,Jackie,Barnes,jackie.barnes53@email.com,Male,24,Physics,85.2,66,65,62.8,51.6,60,60,63.7,D,5,yes,Associate,low,7
54,Louis,Giles,louis.giles54@email.com,Male,21,Business,97.5,81,76,88.3,72.0,67,94,80.0,C+,14,yes,Associate,low,5
55,Michelle,Bryan,michelle.bryan55@email.com,Male,18,Psychology,75.5,40,55,75.4,50.0,81,67,54.8,F,12,no,Doctorate,high,6
56,Phyllis,Moreno,phyllis.moreno56@email.com,Male,20,Computer Science,100.0,47,46,74.3,65.5,60,62,52.5,F,13,yes,Bachelor's,medium,5
57,Amanda,Gross,amanda.gross57@email.com,Male,18,Engineering,75.6,58,51,68.7,51.2,60,60,56.2,F,15,yes,Master's,high,6
58,Caitlyn,Brooks,caitlyn.brooks58@email.com,Male,23,Business,90.2,69,79,70.5,77.3,60,68,73.1,C,22,yes,Associate,medium,6
59,Shannon,Scott,shannon.scott59@email.com,Female,19,Computer Science,92.8,63,87,79.0,71.9,67,79,76.5,C,12,yes,High School,low,2
60,Thomas,Knight,thomas.knight60@email.com,Female,18,Biology,73.9,81,80,85.3,82.3,74,75,80.2,B-,10,no,Master's,high,4
61,Stephen,Mcgrath,stephen.mcgrath61@email.com,Female,23,Business,96.7,70,99,99.1,76.2,60,77,85.1,B,13,yes,Bachelor's,medium,5
62,Andrea,Wise,andrea.wise62@email.com,Female,24,Mathematics,90.3,67,77,85.0,84.6,68,79,75.0,C,11,yes,High School,low,5
63,Patricia,Dixon,patricia.dixon63@email.com,Male,24,History,83.7,67,75,80.9,84.4,63,79,73.6,C,12,yes,High School,medium,5
64,William,Perez,william.perez64@email.com,Female,22,Computer Science,74.4,53,66,64.7,58.7,61,60,60.8,D,10,yes,Associate,low,7
65,Mike,Edwards,mike.edwards65@email.com,Male,20,Computer Science,70.9,43,40,51.9,50.0,60,50,44.6,F,9,yes,High School,high,6
66,Timothy,Mcconnell,timothy.mcconnell66@email.com,Male,18,Engineering,96.0,74,69,76.7,75.3,60,60,70.3,C-,11,no,Bachelor's,medium,6
67,Selena,Randolph,selena.randolph67@email.com,Male,20,Business,82.8,75,77,77.5,80.4,66,62,74.7,C,7,yes,Master's,low,4
68,Haley,Miller,haley.miller68@email.com,Male,23,History,90.3,96,72,89.1,79.5,84,84,83.1,B,10,no,Bachelor's,medium,1
69,Michael,Alvarez,michael.alvarez69@email.com,Female,21,English Literature,82.8,79,86,96.0,79.7,81,64,82.3,B-,12,yes,Bachelor's,medium,4
70,Daniel,Christensen,daniel.christensen70@email.com,Female,20,Physics,86.2,79,89,80.6,80.5,93,75,83.6,B,9,yes,Associate,medium,7
71,Regina,Lynn,regina.lynn71@email.com,Female,20,Business,78.4,88,71,83.0,88.4,80,85,80.1,B-,10,yes,Associate,low,7
72,Jon,Lewis,jon.lewis72@email.com,Female,19,Chemistry,84.4,78,80,79.8,85.8,71,72,78.5,C+,5,yes,Doctorate,high,6
73,Richard,Young,richard.young73@email.com,Male,18,Psychology,99.1,79,52,62.0,50.0,60,63,62.6,D,6,yes,Bachelor's,medium,7
74,Cheryl,Bishop,cheryl.bishop74@email.com,Male,23,Engineering,70.1,84,76,87.3,71.3,85,96,81.8,B-,16,yes,Bachelor's,medium,4
75,Jacob,Thomas,jacob.thomas75@email.com,Male,24,Chemistry,83.0,49,55,72.5,74.1,73,56,57.0,F,8,yes,Doctorate,high,7
76,Ronnie,Miller,ronnie.miller76@email.com,Female,24,Biology,72.9,48,40,50.0,60.3,60,52,46.6,F,5,yes,Bachelor's,low,9
77,Kelly,Jenkins,kelly.jenkins77@email.com,Female,19,History,80.0,80,65,84.2,95.8,76,60,73.1,C,11,yes,Master's,high,5
78,Kyle,Wilson,kyle.wilson78@email.com,Male,19,English Literature,89.7,63,58,50.0,69.6,71,51,59.3,F,8,yes,Associate,high,6
79,Peter,Kelley,peter.kelley79@email.com,Male,18,Mathematics,83.0,65,53,59.5,59.9,60,55,58.2,F,14,yes,Master's,low,8
80,Cassandra,Mcbride,cassandra.mcbride80@email.com,Male,20,Biology,73.7,49,46,50.0,52.3,60,50,48.7,F,17,yes,High School,low,8
81,Anthony,Cortez,anthony.cortez81@email.com,Female,18,Physics,90.9,79,82,84.4,74.3,84,86,81.5,B-,8,no,Master's,medium,2
82,Christopher,Martinez,christopher.martinez82@email.com,Female,19,Biology,100.0,71,71,84.3,68.4,67,74,72.4,C-,14,no,Master's,high,5
83,Donald,Kelley,donald.kelley83@email.com,Male,21,English Literature,78.8,90,75,85.2,96.9,68,65,80.3,B-,14,no,Associate,medium,7
84,Lori,Wagner,lori.wagner84@email.com,Male,18,Chemistry,64.6,88,64,79.4,67.8,71,83,75.2,C,11,yes,Bachelor's,medium,6
85,Jeffrey,Wood,jeffrey.wood85@email.com,Female,19,Mathematics,92.3,77,72,90.1,65.9,60,83,75.5,C,9,yes,Bachelor's,medium,6
86,Derek,Alvarez,derek.alvarez86@email.com,Female,18,Economics,99.4,76,67,72.2,69.7,65,70,70.7,C-,6,no,High School,low,6
87,Angela,Smith,angela.smith87@email.com,Male,22,Economics,71.6,48,40,50.0,50.0,60,50,45.9,F,11,yes,High School,low,4
88,Kristina,Miller,kristina.miller88@email.com,Male,22,Business,73.2,66,60,59.0,58.3,60,50,60.6,D,11,yes,High School,low,7
89,Cynthia,Hopkins,cynthia.hopkins89@email.com,Male,21,Chemistry,100.0,59,56,61.9,57.6,60,60,58.2,F,14,yes,High School,low,5
90,Julie,Christensen,julie.christensen90@email.com,Male,19,Chemistry,86.3,94,68,91.5,90.9,81,77,80.9,B-,13,yes,Master's,medium,8
91,Kelli,Smith,kelli.smith91@email.com,Female,21,History,89.6,65,63,61.0,70.8,77,62,64.5,D,17,yes,Master's,medium,10
92,Beverly,Ford,beverly.ford92@email.com,Male,20,Mathematics,79.3,91,83,77.1,70.2,67,75,82.6,B-,14,no,Master's,high,3
93,Michael,Brown,michael.brown93@email.com,Female,24,Computer Science,80.8,78,91,90.8,81.0,91,89,86.5,B,13,yes,Master's,low,9
94,Victor,Adams,victor.adams94@email.com,Female,19,English Literature,100.0,40,49,50.0,50.0,60,55,47.7,F,11,no,Master's,high,8
95,Pamela,Lee,pamela.lee95@email.com,Female,21,Mathematics,82.1,41,40,51.9,50.0,60,50,44.0,F,13,yes,High School,medium,7
96,Russell,Howard,russell.howard96@email.com,Male,18,Psychology,82.0,72,60,88.4,67.1,61,71,68.0,D,16,yes,Bachelor's,low,8
97,Pamela,Obrien,pamela.obrien97@email.com,Female,22,Chemistry,80.1,41,57,54.6,50.0,60,50,51.1,F,15,yes,Bachelor's,medium,10
98,Stephanie,Erickson,stephanie.erickson98@email.com,Male,21,Physics,83.4,99,78,82.3,81.9,71,75,84.3,B,16,no,High School,low,4
99,Cassidy,Lewis,cassidy.lewis99@email.com,Female,18,Biology,85.1,73,68,80.8,52.4,94,61,70.7,C-,9,no,Doctorate,high,5
100,James,Gardner,james.gardner100@email.com,Female,22,Chemistry,90.1,69,73,77.6,76.4,72,83,73.4,C,9,yes,Associate,medium,4
101,John,Hays,john.hays101@email.com,Female,18,Computer Science,96.9,69,93,77.5,83.2,68,80,81.2,B-,16,yes,Doctorate,low,5
102,Sandra,Farley,sandra.farley102@email.com,Male,18,History,79.9,64,79,75.7,69.5,75,69,72.6,C-,10,yes,Associate,high,6
103,Troy,Gaines,troy.gaines103@email.com,Male,24,History,68.6,61,40,50.0,50.0,60,50,49.8,F,6,yes,Bachelor's,medium,5
104,Michael,Chavez,michael.chavez104@email.com,Female,19,Business,100.0,81,81,77.2,79.6,60,89,80.4,B-,12,yes,Bachelor's,medium,1
105,Steven,Sullivan,steven.sullivan105@email.com,Female,21,History,87.8,73,68,77.0,61.0,69,65,69.9,D,15,yes,High School,low,5
106,Joseph,Cruz,joseph.cruz106@email.com,Female,20,Computer Science,86.6,69,45,57.5,56.5,60,50,55.3,F,8,yes,Master's,medium,5
107,Heather,Rodriguez,heather.rodriguez107@email.com,Male,22,Chemistry,84.2,65,68,69.7,74.6,64,62,66.9,D,17,yes,Master's,medium,7
108,Donald,Huff,donald.huff108@email.com,Female,19,History,74.2,71,55,75.1,77.0,60,72,64.9,D,10,yes,Master's,medium,8
109,Jennifer,Marshall,jennifer.marshall109@email.com,Female,20,Economics,100.0,51,53,53.9,50.0,60,50,52.4,F,8,yes,Associate,medium,6
110,Kendra,Garcia,kendra.garcia110@email.com,Female,20,Political Science,71.3,88,56,78.3,76.5,60,68,70.3,C-,9,yes,High School,low,7
111,Kathleen,Ibarra,kathleen.ibarra111@email.com,Female,23,English Literature,71.9,58,40,50.0,50.0,60,50,48.9,F,15,no,Master's,high,8
112,Kathleen,Green,kathleen.green112@email.com,Male,22,History,69.4,57,40,52.1,50.0,60,50,48.8,F,14,yes,Associate,medium,6
113,Casey,Richardson,casey.richardson113@email.com,Male,19,Biology,91.3,51,63,51.5,61.2,60,50,56.7,F,8,yes,Associate,low,4
114,Brian,Dougherty,brian.dougherty114@email.com,Female,22,Psychology,92.6,69,78,82.7,84.2,79,82,76.6,C,15,yes,Bachelor's,medium,8
115,Stephen,Barnes,stephen.barnes115@email.com,Female,22,Political Science,71.7,40,40,50.0,50.0,60,50,43.5,F,8,yes,High School,low,8
116,Brian,Tapia,brian.tapia116@email.com,Female,22,Engineering,60.3,57,91,92.5,94.4,78,76,79.1,C+,12,yes,Master's,high,4
117,Andrew,Russell,andrew.russell117@email.com,Female,24,Physics,81.5,59,46,50.0,50.0,60,68,53.4,F,7,yes,Associate,high,6
118,Sarah,Johnson,sarah.johnson118@email.com,Male,22,Physics,83.8,88,78,76.1,66.2,74,81,80.4,B-,13,yes,Master's,high,3
119,Mary,Mccann,mary.mccann119@email.com,Male,21,Psychology,83.6,50,56,55.7,50.0,60,50,53.5,F,8,yes,Bachelor's,medium,6
120,Aaron,Williams,aaron.williams120@email.com,Male,20,Political Science,93.5,67,89,91.0,71.2,65,71,78.8,C+,9,yes,Associate,medium,4
121,Brooke,Hood,brooke.hood121@email.com,Male,23,Mathematics,82.9,72,58,57.9,72.1,60,70,64.2,D,7,no,High School,medium,8
122,Brandon,Reyes,brandon.reyes122@email.com,Male,19,Business,74.5,86,65,81.4,60.8,79,76,74.6,C,11,yes,Bachelor's,low,6
123,David,Davenport,david.davenport123@email.com,Female,22,Computer Science,90.8,62,81,75.3,71.9,60,68,71.9,C-,11,yes,Master's,medium,3
124,Richard,Thompson,richard.thompson124@email.com,Male,20,Psychology,68.9,78,75,92.8,75.9,94,86,79.9,C+,6,no,Associate,low,4
125,Dean,Savage,dean.savage125@email.com,Female,21,Psychology,90.1,40,40,50.0,50.0,60,50,43.5,F,14,no,Bachelor's,medium,7
126,Matthew,Ho,matthew.ho126@email.com,Female,18,Economics,97.3,73,72,72.9,66.3,60,62,70.6,C-,15,yes,High School,medium,2
127,Joseph,Rodriguez,joseph.rodriguez127@email.com,Female,23,Psychology,93.8,90,67,78.9,80.1,63,83,77.2,C+,8,yes,High School,low,6
128,Julie,Humphrey,julie.humphrey128@email.com,Female,23,Economics,91.9,57,67,64.7,68.2,72,58,63.2,D,10,no,Associate,medium,7
129,Carrie,Fisher,carrie.fisher129@email.com,Female,18,Engineering,65.3,69,78,83.6,83.2,84,88,77.5,C+,7,yes,Associate,medium,4
130,Kyle,Newman,kyle.newman130@email.com,Female,18,Chemistry,68.4,52,40,50.9,50.0,60,50,47.2,F,13,yes,High School,high,8
131,Bradley,Martinez,bradley.martinez131@email.com,Male,22,Physics,84.1,86,80,75.1,84.7,83,100,83.7,B,11,yes,High School,medium,6
132,Bonnie,Anderson,bonnie.anderson132@email.com,Male,24,Engineering,76.4,75,67,60.8,70.1,69,62,68.6,D,12,yes,Associate,medium,7
133,Justin,Davis,justin.davis133@email.com,Female,19,Business,95.8,84,91,89.9,84.1,60,89,86.7,B,6,yes,Bachelor's,low,5
134,Andrew,Adams,andrew.adams134@email.com,Female,21,History,91.5,69,57,65.8,70.8,60,80,64.7,D,8,yes,High School,high,6
135,Christine,Perkins,christine.perkins135@email.com,Female,20,Psychology,76.2,50,70,64.1,76.6,60,60,62.3,D,13,yes,High School,low,6
136,Samantha,Goodwin,samantha.goodwin136@email.com,Female,23,Business,81.6,74,82,68.0,77.3,61,78,76.6,C,22,yes,Bachelor's,medium,5
137,Erin,Wong,erin.wong137@email.com,Male,22,Psychology,76.1,50,55,50.0,53.1,60,68,54.5,F,10,yes,Associate,low,5
138,Stacy,Austin,stacy.austin138@email.com,Male,20,Business,93.8,80,84,78.9,93.7,92,84,83.2,B,15,yes,Bachelor's,medium,5
139,Zachary,Owens,zachary.owens139@email.com,Female,20,Political Science,69.1,67,63,57.5,73.1,86,88,67.9,D,10,yes,Associate,low,6
140,Gregory,Smith,gregory.smith140@email.com,Male,23,History,81.5,77,76,83.6,86.2,67,78,77.4,C+,10,yes,Master's,medium,5
141,Suzanne,Lewis,suzanne.lewis141@email.com,Male,18,Engineering,84.9,57,54,65.6,70.7,65,75,59.6,F,9,no,High School,medium,7
142,David,Hall,david.hall142@email.com,Female,21,Mathematics,97.5,80,84,80.3,76.0,65,83,81.0,B-,14,yes,High School,low,4
143,Keith,Mercado,keith.mercado143@email.com,Male,22,Psychology,76.9,79,60,72.7,71.7,71,69,69.1,D,9,yes,Bachelor's,medium,6
144,Brad,Lang,brad.lang144@email.com,Female,23,Biology,80.6,49,43,59.7,65.1,60,60,50.2,F,14,no,Master's,medium,5
145,Andrew,Newton,andrew.newton145@email.com,Female,20,Engineering,84.4,61,50,55.5,65.1,60,50,55.1,F,9,yes,Bachelor's,medium,7
146,Eric,Bauer,eric.bauer146@email.com,Male,23,Chemistry,78.1,73,70,82.5,60.4,64,55,70.0,D,10,yes,High School,low,5
147,Mariah,Shaw,mariah.shaw147@email.com,Male,20,Computer Science,77.5,73,62,55.5,69.2,60,78,66.6,D,13,yes,Associate,high,8
148,William,Roman,william.roman148@email.com,Male,24,History,95.6,45,40,54.6,63.3,60,50,46.1,F,5,yes,High School,low,6
149,Todd,Goodman,todd.goodman149@email.com,Male,20,History,78.7,72,69,82.3,70.6,85,70,72.2,C-,16,yes,Bachelor's,high,5
150,Blake,Brooks,blake.brooks150@email.com,Female,20,Chemistry,87.2,69,65,69.0,77.7,62,60,66.7,D,19,yes,Associate,low,5
151,Anna,Jones,anna.jones151@email.com,Male,21,Mathematics,76.6,66,52,70.5,60.7,78,67,61.4,D,7,yes,Associate,high,7
152,Pamela,Conley,pamela.conley152@email.com,Male,20,Biology,100.0,76,83,85.3,73.5,79,70,79.2,C+,16,yes,Master's,medium,6
153,Taylor,Hensley,taylor.hensley153@email.com,Female,21,Business,90.0,76,75,77.0,92.4,70,78,76.6,C,8,yes,Associate,high,5
154,Brandy,Ramirez,brandy.ramirez154@email.com,Male,21,Engineering,93.3,76,62,75.5,56.7,60,71,68.1,D,7,yes,Associate,medium,8
155,Sarah,Dean,sarah.dean155@email.com,Male,23,History,99.1,67,73,69.6,77.1,71,70,70.7,C-,11,yes,Associate,medium,5
156,Wesley,Moore,wesley.moore156@email.com,Female,21,English Literature,93.1,93,72,76.6,74.5,67,81,79.6,C+,9,yes,Bachelor's,medium,2
157,Emily,Peterson,emily.peterson157@email.com,Female,20,Computer Science,100.0,76,72,88.1,64.3,72,53,72.6,C-,14,yes,Master's,high,4
158,Tracy,Flores,tracy.flores158@email.com,Male,22,Business,85.4,83,74,80.9,77.4,94,55,76.8,C,9,yes,Master's,high,3
159,John,Cunningham,john.cunningham159@email.com,Female,24,Political Science,76.2,56,59,68.1,64.8,68,52,59.2,F,10,yes,High School,low,7
160,Linda,Davis,linda.davis160@email.com,Female,21,History,83.2,85,80,96.4,74.9,77,73,82.1,B-,20,yes,Bachelor's,high,4
161,Vanessa,Williams,vanessa.williams161@email.com,Female,19,Psychology,88.0,40,44,50.0,50.0,60,50,45.1,F,11,yes,Bachelor's,medium,5
162,Kristy,Fowler,kristy.fowler162@email.com,Female,18,Chemistry,79.2,99,83,84.2,74.5,74,72,86.0,B,16,yes,Master's,high,5
163,Angela,Olson,angela.olson163@email.com,Male,24,Biology,85.7,63,68,65.6,59.6,60,67,65.4,D,10,yes,Associate,high,7
164,Michelle,Ferguson,michelle.ferguson164@email.com,Female,22,History,94.0,57,68,65.6,53.9,60,50,61.6,D,5,no,Associate,medium,5
165,Karen,Johnson,karen.johnson165@email.com,Male,21,Psychology,86.1,40,40,57.8,55.3,60,50,44.5,F,15,yes,Associate,high,8
166,Stephanie,Simmons,stephanie.simmons166@email.com,Male,20,Chemistry,92.6,84,78,77.2,64.2,66,100,80.7,B-,12,no,Associate,medium,4
167,Stephanie,Macdonald,stephanie.macdonald167@email.com,Female,22,Economics,91.2,79,79,81.0,78.4,86,81,79.8,C+,9,yes,Master's,low,3
168,Lori,Johnson,lori.johnson168@email.com,Male,23,Physics,82.5,81,78,89.7,85.7,60,91,80.9,B-,17,yes,Associate,medium,2
169,Miguel,Dennis,miguel.dennis169@email.com,Male,18,Political Science,100.0,70,79,88.5,62.0,79,84,77.0,C,17,no,Bachelor's,medium,6
170,Christine,Hart,christine.hart170@email.com,Female,22,Computer Science,86.1,99,80,88.4,66.6,61,73,84.3,B,16,yes,High School,low,4
171,Tina,Mcclain,tina.mcclain171@email.com,Male,19,Biology,87.3,82,60,67.2,77.5,60,74,69.7,D,11,yes,Associate,medium,5
172,Eric,Morris,eric.morris172@email.com,Female,23,Business,80.1,76,73,89.4,97.0,76,86,78.3,C+,14,yes,Bachelor's,high,4
173,Justin,Baker,justin.baker173@email.com,Female,18,Political Science,87.4,71,60,83.5,89.6,95,69,69.9,D,7,yes,Associate,medium,7
174,Ashley,Robertson,ashley.robertson174@email.com,Male,21,Engineering,92.6,96,75,70.8,75.3,76,77,81.2,B-,13,no,Associate,medium,7
175,Tracie,Flores,tracie.flores175@email.com,Male,23,Physics,73.3,70,68,77.7,54.9,60,72,68.9,D,11,yes,Associate,low,5
176,Yolanda,Wood,yolanda.wood176@email.com,Female,20,Engineering,91.7,81,60,71.2,90.7,90,77,72.3,C-,11,yes,Associate,high,7
177,Lynn,Rios,lynn.rios177@email.com,Female,21,Mathematics,77.1,40,50,50.0,62.8,60,54,48.6,F,7,yes,Bachelor's,medium,7
178,Charles,Lee,charles.lee178@email.com,Male,20,Biology,90.1,85,75,88.5,87.2,83,91,82.0,B-,15,yes,High School,low,6
179,Christopher,Smith,christopher.smith179@email.com,Female,19,Political Science,76.3,60,54,50.0,59.3,66,50,55.9,F,11,yes,Master's,high,7
180,Amber,Allen,amber.allen180@email.com,Female,21,Engineering,85.8,58,57,64.4,72.8,60,64,59.7,F,11,yes,Bachelor's,high,8
181,Aaron,Payne,aaron.payne181@email.com,Female,22,Psychology,87.8,51,61,50.0,54.0,60,50,55.4,F,16,yes,High School,medium,8
182,Mikayla,Walker,mikayla.walker182@email.com,Male,23,Biology,80.1,71,84,89.0,89.2,100,84,81.7,B-,12,yes,Bachelor's,high,4
183,Karina,Hall,karina.hall183@email.com,Male,24,Business,93.1,46,67,71.8,68.8,60,52,59.5,F,14,yes,Bachelor's,medium,10
184,Jodi,Boyd,jodi.boyd184@email.com,Male,21,Mathematics,96.3,55,68,63.2,71.2,60,61,62.7,D,8,yes,Associate,low,8
185,Jennifer,Bernard,jennifer.bernard185@email.com,Female,21,Engineering,88.4,62,61,74.9,72.4,60,62,63.4,D,9,no,Associate,high,5
186,Michael,Johnson,michael.johnson186@email.com,Female,21,History,95.6,67,66,75.2,73.4,64,50,65.9,D,7,yes,Bachelor's,medium,7
187,Edgar,Miles,edgar.miles187@email.com,Female,19,Psychology,91.3,65,92,79.5,86.7,71,86,80.8,B-,17,yes,Associate,high,6
188,Daniel,Glover,daniel.glover188@email.com,Female,24,Biology,93.2,61,63,82.7,61.1,82,62,65.2,D,5,yes,High School,medium,7
